issue_key,issue_type,priority,has_priority,component_present,summary_length,summary_word_count,description_length,description_word_count,created_year,created_month,created_dayofweek,created_hour,resolution_time_days,delay_threshold_days,is_delayed
SRCTREEWIN-14210,Bug,Low,1,1,59,9,269,52,2023,5,0,20,7.5521,305.2055555555556,0
SRCTREEWIN-14209,Bug,Low,1,1,59,9,269,52,2023,5,0,13,7.8507,305.2055555555556,0
SRCTREEWIN-14167,Suggestion,Unknown,0,1,16,2,20401,2700,2023,4,4,10,0.2132,305.2055555555556,0
SRCTREEWIN-14055,Bug,High,1,1,46,6,1869,90,2023,3,2,9,0.209,305.2055555555556,0
SRCTREEWIN-14054,Bug,High,1,1,40,7,1817,90,2023,3,2,9,11.9694,305.2055555555556,0
SRCTREEWIN-14053,Bug,High,1,1,30,4,1813,89,2023,3,2,9,0.2104,305.2055555555556,0
SRCTREEWIN-14052,Bug,High,1,1,43,7,1765,90,2023,3,2,9,0.2118,305.2055555555556,0
SRCTREEWIN-14051,Bug,High,1,1,42,7,1709,89,2023,3,2,9,0.2125,305.2055555555556,0
SRCTREEWIN-14046,Bug,High,1,1,30,4,1661,90,2023,3,2,9,0.2174,305.2055555555556,0
SRCTREEWIN-14044,Bug,High,1,1,1,1,4,1,2023,3,2,9,0.2181,305.2055555555556,0
SRCTREEWIN-14039,Bug,High,1,1,4,1,6,1,2023,3,2,9,0.0014,305.2055555555556,0
SRCTREEWIN-14037,Bug,High,1,1,5,1,4,1,2023,3,2,9,0.0028,305.2055555555556,0
SRCTREEWIN-14027,Bug,Medium,1,1,27,2,1609,90,2023,3,2,8,0.0049,305.2055555555556,0
SRCTREEWIN-14011,Bug,Highest,1,1,7,1,10,1,2023,3,2,5,2.3139,305.2055555555556,0
SRCTREEWIN-14009,Bug,Low,1,1,35,6,1128,126,2023,3,1,9,14.8319,305.2055555555556,0
SRCTREEWIN-13993,Bug,High,1,1,61,8,330,27,2023,3,0,9,0.8826,305.2055555555556,0
SRCTREEWIN-13990,Bug,High,1,1,36,6,982,55,2023,2,2,8,15.8326,305.2055555555556,0
SRCTREEWIN-13988,Bug,High,1,1,50,8,388,35,2023,2,4,8,18.1347,305.2055555555556,0
SRCTREEWIN-13987,Bug,Low,1,1,24,4,269,24,2023,2,6,10,1.0417,305.2055555555556,0
SRCTREEWIN-13986,Bug,High,1,1,11,2,35,7,2023,2,2,18,68.7674,305.2055555555556,0
SRCTREEWIN-13985,Bug,Medium,1,1,30,6,236,38,2023,1,1,6,2.0292,305.2055555555556,0
SRCTREEWIN-13978,Bug,Low,1,1,44,6,153,19,2023,1,0,6,52.9299,305.2055555555556,0
SRCTREEWIN-13975,Bug,High,1,1,48,7,281,47,2023,1,2,16,4.8181,305.2055555555556,0
SRCTREEWIN-13974,Suggestion,Unknown,0,1,67,10,996,127,2023,1,4,11,62.7222,305.2055555555556,0
SRCTREEWIN-13973,Bug,High,1,1,50,8,125,19,2023,1,2,15,11.5458,305.2055555555556,0
SRCTREEWIN-13971,Bug,Low,1,1,27,4,416,50,2022,12,3,16,3.4819,305.2055555555556,0
SRCTREEWIN-13970,Bug,High,1,1,34,6,133,22,2022,12,1,3,20.0188,305.2055555555556,0
SRCTREEWIN-13968,Bug,Low,1,1,49,7,262,39,2022,12,2,23,106.4889,305.2055555555556,0
SRCTREEWIN-13967,Bug,Highest,1,1,57,9,438,45,2022,12,5,19,26.6854,305.2055555555556,0
SRCTREEWIN-13966,Bug,Low,1,1,41,6,168,26,2022,12,3,10,113.0194,305.2055555555556,0
SRCTREEWIN-13964,Suggestion,Unknown,0,1,103,16,233,25,2022,12,6,12,32.9688,305.2055555555556,0
SRCTREEWIN-13961,Bug,Highest,1,1,47,7,75,15,2022,12,6,23,4.2854,305.2055555555556,0
SRCTREEWIN-13960,Bug,Low,1,1,29,5,218,16,2022,12,6,23,4.2951,305.2055555555556,0
SRCTREEWIN-13958,Bug,Medium,1,1,48,6,286,42,2022,11,2,2,35.0868,305.2055555555556,0
SRCTREEWIN-13956,Bug,High,1,1,31,4,696,87,2022,11,0,23,24.309,305.2055555555556,0
SRCTREEWIN-13955,Bug,Low,1,1,37,6,185,26,2022,11,4,4,5.1028,305.2055555555556,0
SRCTREEWIN-13953,Bug,Medium,1,1,52,8,178,26,2022,11,3,11,40.7111,305.2055555555556,0
SRCTREEWIN-13952,Bug,High,1,1,89,8,2069,105,2022,11,0,11,108.7021,305.2055555555556,0
SRCTREEWIN-13951,Bug,Highest,1,1,9,2,186,8,2022,11,5,4,11.1076,305.2055555555556,0
SRCTREEWIN-13950,Suggestion,Unknown,0,1,77,10,666,118,2022,11,5,0,46.1632,305.2055555555556,0
SRCTREEWIN-13948,Bug,Low,1,1,71,11,880,110,2022,11,2,10,86.0243,305.2055555555556,0
SRCTREEWIN-13947,Bug,Low,1,1,33,5,94,11,2022,11,0,15,3.7701,305.2055555555556,0
