issue_key,summary_length,summary_word_count,description_length,description_word_count,issue_type,priority,has_priority,component_present,is_delayed
SRCTREEWIN-14210,59,9,269,52,Bug,Low,1,1,0
SRCTREEWIN-14209,59,9,269,52,Bug,Low,1,1,0
SRCTREEWIN-14167,16,2,20401,2700,Suggestion,Unknown,0,1,0
SRCTREEWIN-14055,46,6,1869,90,Bug,High,1,1,0
SRCTREEWIN-14054,40,7,1817,90,Bug,High,1,1,0
SRCTREEWIN-14053,30,4,1813,89,Bug,High,1,1,0
SRCTREEWIN-14052,43,7,1765,90,Bug,High,1,1,0
SRCTREEWIN-14051,42,7,1709,89,Bug,High,1,1,0
SRCTREEWIN-14046,30,4,1661,90,Bug,High,1,1,0
SRCTREEWIN-14044,1,1,4,1,Bug,High,1,1,0
